;crl.tot;dollar;bang;money;n000;make;yesno
78;175;0;0,132;0;0,62;0;y
79;10;0,338;0;0;0;0;y
80;114;0;1,431;0;0;0;y
81;519;0;0,197;0,47;0;0;y
82;61;0;0,495;0;0,72;0;y
83;43;0;0,724;0;1,28;0;y
84;118;0;0,834;0;0;0;y
85;213;0,214;0,571;0,46;0;0;y
86;158;0,061;0,061;0,38;0;0;y
87;107;0;0,268;0;0;0;y
88;845;0,085;0,096;0,06;0;0,06;y
89;38;0;0;0;0;0;y
90;194;0,333;1,083;0;0;0;y
91;3038;0,764;0,322;0,34;1,05;0,47;y
92;2453;0,532;0,613;0,63;0,59;0,59;y
93;2453;0,531;0,612;0,63;0,59;0,59;y
94;102;0,823;0,082;0;1,38;0,46;y
95;91;0;0;0;0,46;0;y
96;313;0;1,284;0;0;0;y
97;222;0;0,736;0;0;0;y
98;191;0;0,31;0;0,6;0;y
99;114;0,527;0,461;0,41;0;1,24;y
100;30;0;0,38;0;0;0;y
101;292;0;0,662;0;0,64;0;y
102;66;0;1,529;0;0;0;y
103;292;0;0,662;0;0,64;0;y
104;66;0;1,529;0;0;0;y
105;292;0;0,662;0;0,64;0;y
106;66;0;1,529;0;0;0;y
107;168;0;0,462;0;0,79;0;y
108;66;0;1,529;0;0;0;y
109;74;0;0;0;0;0;y
110;36;0;1,907;0;0;0;y
111;67;0;0;0;0;0;y
112;211;0,177;0;0;0;0;y
113;78;0;0;0;0;0;y
114;507;0,119;0;0,12;1,13;0,12;y
115;146;0;0,542;0;0;0;y
116;588;0,118;0,054;0,2;0,15;0,05;y
117;583;0,118;0,054;0,2;0,15;0,05;y
118;308;0;0,542;0;0;0;y
119;195;0,331;1,158;0;0;0;y
120;588;0,118;0,054;0,2;0,15;0,05;y
121;583;0,118;0,054;0,2;0,15;0,05;y
122;2413;1,281;0,335;0,5;0,5;0,5;y
123;982;0,024;0,271;0;0;0;y
124;278;0,322;0,092;0;0,61;0;y
125;657;0,054;1,194;0,33;0;0,16;y
126;164;0,178;0,089;0;0;0,5;y
127;170;0;0,427;0,59;0;0;y
128;114;0,212;0,706;0;0;0;y
129;450;0,149;0,97;0,41;0,82;0,41;y
130;285;0,179;0,598;0;0,38;0;y
131;95;0;0,121;0,4;0;0;y
132;144;0;0,606;0;0;0;y
133;174;0,174;0,299;0;0,64;0;y
134;76;0,431;0,215;0;2,53;0;y
135;730;0,16;0,16;0;0,19;0;y
136;730;0,16;0,16;0;0,19;0;y
137;304;0,541;0,12;0,33;1,66;1;y
138;11;0;0;0;0;0;y
139;69;0;0;0;0;0;y
140;304;0,541;0,12;0,33;1,66;1;y
141;36;0,279;0,558;0;0;0;y
142;2413;1,281;0,335;0,5;0,5;0,5;y
143;36;0,279;0,558;0;0;0;y
144;13;0;0,715;0;0;0;y
145;77;0,431;0,215;0;2,53;0;y
146;304;0,541;0,12;0,33;1,66;1;y
147;1001;0,023;0,865;0;0;0;y
148;123;0,126;0,063;0,72;0;0,36;y
149;131;0,121;0,565;0,27;0;0;y
150;114;0;0,261;1,56;0;0,39;y
151;190;0,33;1,32;0;0;0;y
152;33;0;0,2;0;0;0,67;y
153;120;0;1,055;0;0;0;y
154;203;0;0,484;0;0;0;y
155;38;0;0;0;0;0;y
156;291;0,117;0,117;0;0;0;y
157;117;0;0,135;0;0;0;y
158;200;0;1,088;0,42;0;0,42;y
159;607;0,185;0;0;0;0;y
160;642;0,146;0,146;0;0;0;y
161;102;0,816;0,081;0;1,38;0,46;y
162;437;0;0,265;0;0;0,14;y
163;119;0;0;0;0;0;y
164;102;0,816;0,081;0;1,38;0,46;y
165;111;0;0,517;0,62;0;0,62;y
166;108;0;0;0;0;0;y
167;260;0;0,7;0;0;0;y
168;944;0,024;0,567;0;0;0;y
169;172;0;0,518;0,57;0;0;y
170;566;0;0,31;0,52;0;0,52;y
171;574;0,013;0,095;0,08;0,34;0,17;y
172;172;0;0,892;0;0;0;y
173;130;0;1,443;0;0;0;y
174;49;0;0,889;0;0,78;0;y
175;85;0;0,968;0;1,02;0;y
176;11;0;0;0;0;0;y
177;152;0,145;0,944;0,44;0;0,44;y
178;326;0;0,583;0;0;0;y
179;85;0;0,969;0;1,02;0;y
180;694;0,258;0,258;0,34;0,34;0,34;y
181;537;0,259;0,259;0,34;0,34;0,34;y
182;179;0;0,835;0,43;0;0,43;y
183;153;0,144;1,083;0,44;0;0,44;y
184;68;0;0,118;0;0;0;y
185;7;0;1,754;0;0;0;y
186;303;0,14;0,032;0,23;0,23;0;y
187;66;0;0;0;0;0;y
188;240;0,186;0,28;0,53;0,53;2,12;y
189;96;0;0,135;0;0;0;y
190;51;0;0;0;0,56;0;y
191;164;0,069;0,83;1,32;0;0;y
192;101;0;1,192;0;0;0;y
193;979;0,046;0,585;0;0;0;y
194;574;0,013;0,095;0,08;0,34;0,17;y
195;63;0,147;0,294;0;0;0;y
196;181;0,252;1,18;0;1,62;0,54;y
197;574;0,013;0,108;0,08;0,34;0,17;y
198;180;0,253;1,183;0;1,61;0,53;y
199;91;0;0,067;0;0;0,51;y
200;212;0,321;1,045;0;0;0;y
201;255;0,184;0,985;0;0,38;0;y
202;256;0,186;0,869;0;0,39;0;y
203;144;0;0,915;1,29;0;0,43;y
204;363;0,112;0,187;0;1,6;0,45;y
205;137;0;0,615;0;0;0;y
206;121;0;0,893;0;0;0;y
207;165;0,068;0,816;1,31;0;0;y
208;81;0;0,353;0;0;0;y
209;1733;0,15;0,563;0,44;0,44;0,22;y
210;537;0,223;0,287;0,34;0,34;0,34;y
211;61;0;0;0;0;0;y
212;233;1,417;0,202;0;0;0;y
213;180;0,253;1,182;0;1,62;0,54;y
214;57;0;0,08;0;0;0;y
215;94;0,165;0,165;0;0;0;y
216;965;0,022;0;0,02;0,37;0,07;y
217;965;0,022;0;0,02;0,37;0,07;y
218;1329;0,185;0,212;0,08;0,89;0,17;y
219;242;0,267;0,468;0;0,96;0;y
220;102;0,816;0,081;0;1,38;0,46;y
221;91;0,061;0,366;0,34;0,34;1,03;y
222;841;0,063;0,633;0,54;0;0;y
223;476;0,021;0,779;0,39;0,13;0,26;y
224;143;0,157;0;0,32;0;0;y
225;143;0,159;0;0,32;0;0;y
226;305;0,032;0,258;0,19;0;0,19;y
227;354;0,112;0,188;0;1,61;0,46;y
228;95;0;1,094;0;0;0;y
229;156;0,171;0;0;0;0;y
230;1087;0,752;0,884;0;0;0;y
231;145;0;0,683;0;0;0;y
232;955;0,08;0,773;0;0;0,16;y
233;88;0;0;0;0;0;y
234;519;0,278;1,113;0,84;0;0,84;y
235;32;0;0;0;0;0;y
236;32;0;0;0;0;0;y
237;1140;0,013;0,088;0,08;0,34;0,17;y
238;377;0;0,471;0;0;0;y
239;294;0,082;0;0;0;0;y
240;75;0;1,806;0;0;0;y
241;617;0,193;0,129;0,22;0,22;0;y
242;385;0;0,479;0;0;0;y
243;39;0;0,814;0;1,12;0;y
244;139;0,158;0;0,32;0;0;y
245;214;0;0,937;0;0;0;y
246;385;0;0,479;0;0;0;y
247;62;0,437;0,145;0;0;0;y
248;255;0,263;0,461;0;0,95;0;y
249;1128;0,707;0,862;0;0;0;y
250;130;0;0;0;0;0;y
251;157;0,829;2,766;0;0;0;y
252;1561;0,097;0,39;0,16;0,08;0,08;y
253;966;0,305;0,75;0,69;0,06;0,48;y
254;966;0,305;0,75;0,69;0,06;0,48;y
255;54;0;2,453;0;0;0;y
256;217;0;0,931;0;0;0;y
257;125;0,347;1,62;0;0,8;0,8;y
258;202;0,162;0;0,33;0;0;y
259;802;0,159;0,159;0,14;0;0,07;y
260;202;0,161;0;0,33;0;0;y
261;1128;0,707;0,862;0;0;0;y
262;155;0;0,043;0;0,31;0;y
263;963;0,083;0,665;0;0;0;y
264;114;0,135;0,271;0;0;0;y
265;400;0,127;0,204;0,44;0;0,14;y
266;91;0;0,784;0;0;0;y
267;129;0,203;0,203;0,25;0;0;y
268;75;0,09;0,09;0;0;0,58;y
269;400;0,127;0,204;0,44;0;0,14;y
270;400;0,127;0,204;0,44;0;0,14;y
271;86;0;0,829;0;0;0;y
272;210;0,124;0,041;0;0;0,25;y
273;66;0;0;0;0;0;y
274;373;0;0,487;0;0;0;y
275;417;0,057;0,085;0;0,35;0;y
276;256;0,267;0,401;0;0,95;0;y
277;373;0;0,487;0;0;0;y
278;942;0;0,315;0;0;0;y
279;373;0;0,487;0;0;0;y
280;163;0,18;0,54;0;0;0;y
281;1200;0,784;0,764;0;0;0;y
282;869;0,03;0,632;0;0;0;y
283;513;0,129;1,453;0,6;0,2;0,4;y
284;87;0;0,531;0;0;0;y
285;1128;0,753;0,732;0;0;0;y
286;131;0;0,867;0;0;0;y
287;117;0;1,117;0;0;0;y
288;442;0,167;0,01;0,06;0,84;0,18;y
289;817;0,065;0,785;0,2;0;0,1;y
290;347;0,21;0,841;0;0;0;y
291;599;0,057;1,158;0,35;0;0,17;y
292;1456;0,103;0,348;0,17;0,08;0,08;y
293;285;0,036;0,841;0,23;0;0;y
294;240;0,032;0;0;0;0;y
295;266;0,263;0,702;0,52;1,58;0;y
296;139;0,157;0;0,32;0;0;y
297;129;0,318;0,715;0;0,54;0,54;y
298;36;0,253;0,759;0;0;1,63;y
299;244;0,107;0,242;0,18;0;0;y
300;213;0;0,411;0;0;0,35;y
301;68;0;0;0;0;0,34;y
302;239;0,107;0,295;0,18;0;0;y
303;119;0,459;0,551;0;0,64;0,64;y
304;139;0,159;0;0,32;0;0;y
305;119;0,369;0,554;0;0,64;0,64;y
306;191;0,07;0,07;0;0,18;0;y
307;87;0;0,532;0;0;0;y
308;56;0;0,309;0;0;0;y
309;116;0;0,129;0;0;0;y
310;114;0;1,133;0;0;0;y
311;264;0;0,718;0;0;0;y
312;1116;0,663;0,906;0;0;0;y
313;442;0,167;0,01;0,06;0,85;0,18;y
314;389;0,094;0,322;0;0,11;0;y
315;19;0;1,284;0;0;0;y
316;87;0,269;0,672;0;0;0;y
317;53;0,199;0;1,31;0;0;y
318;251;0,107;0,268;0,18;0;0;y
319;244;0,107;0,241;0,18;0;0;y
320;139;0,157;0;0,32;0;0;y
321;217;0;0,511;0;0;0;y
322;349;0;1,152;0;0;0;y
323;19;0;0;0;0;0;y
324;217;0;0,511;0;0;0;y
325;19;0;0;0;0;0;y
326;967;0,681;0,754;0;0;0;y
327;33;0,137;0,275;1;1;0;y
328;107;0,175;0,351;0;0;0;y
329;1030;0,67;0,693;0;0;0;y
330;127;0;1,434;0;0;0;y
331;54;0,201;0;1,31;0;0;y
332;72;0,23;0,23;0;0;0;y
333;77;0;0,217;0;0;0;y
334;211;0,209;0,209;0,76;0,25;0,25;y
335;356;0,181;0,604;0;0,36;0;y
336;122;0,37;0,462;0;0,64;0,64;y
337;65;0,062;0,31;0;0;0;y
338;72;0,23;0,23;0;0;0;y
339;38;0;0;0;0;0;y
340;139;0,159;0;0,32;0;0;y
341;55;0,198;0;1,29;0;0;y
342;72;0,23;0,23;0;0;0;y
343;118;0,3;0,501;0;0,63;0,63;y
344;122;0,463;0,834;0;0,65;0,65;y
345;2043;1,121;0;0;0;0,19;y
346;65;0,062;0,31;0;0;0;y
347;1254;0,038;0,406;0;0;0,08;y
348;122;0,37;0,462;0;0,64;0,64;y
349;65;0,062;0,31;0;0;0;y
350;356;0,181;0,604;0;0,36;0;y
351;51;0;0;0;0;0;y
352;72;0,23;0,23;0;0;0;y
353;139;0,158;0;0,32;0;0;y
354;441;0,167;0,01;0,06;0,85;0,18;y
355;54;0,201;0;1,31;0;0;y
356;161;0,127;0,063;0;0,45;0;y
357;21;0;0;0;0;0;y
358;19;0;0;0;0;0;y
359;3271;0,017;0,107;0;0;0;y
360;2;0;5;0;0;0;y
361;81;0;2,443;0;0;0,48;y
362;543;0,036;1,018;0;0;0;y
363;139;0,158;0;0,32;0;0;y
364;6;0;0;0;0;0;y
365;543;0,036;1,018;0;0;0;y
366;89;0;0,11;0;0;0;y
367;660;0,259;0,102;0,05;0,23;0,05;y
368;139;0,157;0;0,32;0;0;y
369;132;0,11;0,332;0;0;0;y
370;3271;0,017;0,107;0;0;0;y
371;139;0,114;0,802;0;0;0;y
372;2205;0,338;0,831;0,4;0;0,2;y
373;178;0,103;0,517;0;0;0;y
374;61;0;0,108;0;0;0;y
375;136;0;0,153;0;0;0;y
376;2218;0,479;0,319;0,46;0,46;0,35;y
377;183;0;0,397;0;0;0;y
378;31;0;0;0;0;0;y
379;53;0,199;0;1,31;0;0;y
380;479;0,202;0,101;0,96;0,72;0,6;y
381;37;0;0;0;0,44;0;y
382;1402;0,114;0,42;0,08;0,85;0,08;y
383;120;0;0,663;0;0;0;y
384;1315;0,745;0,826;0;0;0;y
385;444;0,169;0,01;0,06;0,85;0,18;y
386;451;0,169;0,01;0,06;0,85;0,18;y
387;1059;0,236;0,429;0,76;0,44;0,76;y
388;1277;0,109;0,369;0,17;0,08;0,08;y
389;1834;0,101;0,356;0,08;1,1;0,08;y
390;95;0;0,163;0;0;0;y
391;19;0;0;0;0;0;y
392;72;0,42;0,105;0;1,78;0;y
393;74;0,304;0,101;0,6;0;0,6;y
394;1070;0,235;0,428;0,76;0,44;0,76;y
395;78;0,326;0,163;0;0;0;y
396;141;0;0,537;0;0;0;y
397;189;0;0,286;0,67;0;0;y
398;655;0,134;0,23;0,46;0,46;0,11;y
399;115;0;0;0;0;0;y
400;13;0;0,616;0;0;0;y
401;94;0,061;0,367;0,35;0,35;1,05;y
402;75;0;0,524;0;0;0;y
403;113;0;0;0;0;0,29;y
404;105;0;0,52;0;0;0;y
405;1278;0,109;0,369;0,17;0,08;0,08;y
406;102;0,082;0,165;0,58;0;0;y
407;3550;0,019;0,034;0;0;0,1;y
408;301;0,683;2,636;0;0;0;y
409;153;0;0,354;0;0;0,25;y
410;1407;0,114;0,394;0,08;0,85;0,08;y
411;1234;0;0,34;0;0;0;y
412;320;0,216;0,577;0;0,43;0;y
413;368;0,153;0,153;0,44;0;0,14;y
414;1222;0,08;0,269;0;0,14;0;y
415;121;0,273;0,456;0;0,62;0,62;y
416;621;0,054;1,118;0,33;0;0,16;y
417;1229;0,072;0,241;0;0,14;0;y
418;1216;0,076;0,255;0;0,15;0;y
419;2333;0,51;0,443;0,54;0,51;0,51;y
420;228;0,519;1,143;0;0;0;y
421;389;0,193;0,367;0,22;0;0,33;y
422;225;0,165;0,497;0;0;0;y
423;52;0;3,571;0;0;0;y
424;3210;0,847;0,382;0,51;1,03;0,49;y
425;389;0,193;0,367;0,22;0;0,33;y
426;34;0;0,7;0;0;0;y
427;35;0;0,146;0;0;0;y
428;353;0;0,801;0;0;0;y
429;126;0;0;0;0;0;y
430;249;0,412;0,412;0;0,76;0;y
431;21;0;0,277;0;0;0;y
432;249;0,412;0,412;0;0,76;0;y
433;261;0;1,257;0;0;0;y
434;9;0;0;0;0;0;y
435;483;0,222;0,101;0,96;0,72;0,6;y
436;229;0;0,935;0;0;0;y
437;389;0,094;0,056;0;0;0;y
438;36;0;1,007;0;0;0;y
439;38;0,21;0,421;3,61;0;0;y
440;72;0,38;0,19;0;1,07;0;y
441;23;0;1,336;0;0;0;y
442;2541;0,133;0,334;0,99;1,39;0,59;y
443;41;3,125;0;0;0;0;y
444;144;0;0;0;0;0,27;y
445;278;0;0,777;0;0;0;y
446;1078;0;0,369;0;0;0;y
447;389;0,196;0,373;0,22;0;0,33;y
448;254;0,041;0,041;0;0;0,12;y
449;254;0,041;0,041;0;0;0,12;y
450;421;0,046;0,89;0,31;0;0,31;y
451;100;0,177;0,8;0,51;0;0;y
452;80;0,336;0,084;0;1,44;0;y
453;2;0;0;0;0;0;y
454;144;0;0;0;0;0;y
455;229;0,171;0,057;0;0,35;0;y
456;91;0,251;0,251;0;0;0;y
457;84;0,186;0,186;0;0;0;y
458;493;0;0,187;0;0;0;y
459;477;0;0,203;0;0;0;y
460;94;0;0,176;0;0;0;y
461;180;0;1,385;0;0;0;y
462;36;0;0;0;0;0;y
463;72;0,389;0;0;1,08;0;y
464;59;0;0,486;0;0;0;y
465;1016;3,305;0,141;1,47;0,31;0,21;y
466;189;0,04;0;0;0,23;0;y
467;1171;0,085;0,341;0,36;0;0,09;y
468;23;0;0,546;0;0;0;y
469;15;0;2,631;0;0;0;y
470;15;0;5,844;0;0;0;y
471;23;0;1,081;0;0;0;y
472;105;0;0,574;0;0;0;y
473;65;0;0,536;0;0;0;y
474;157;0,156;0;0,32;0;0;y
475;79;0,383;0,191;0;1,08;0;y
476;24;0;3,448;0;0;0;y
477;79;0,383;0,191;0;1,08;0;y
478;910;0,053;0;0;0,05;0;y
479;58;0;0,291;0;0;0;y
480;301;0,065;0,816;0,2;0;0;y
481;2;0;4,347;0;0;0;y
482;329;0,065;0,016;0;0,75;0,1;y
483;595;0,225;0,902;0,49;0;0,65;y
484;1458;0,151;0,318;0,19;0,39;0,09;y
485;26;0;0,396;0;0;0;y
486;1428;0,156;0,297;0,2;0,4;0,1;y
487;289;0;1,096;0;0;0;y
488;1407;0,114;0,394;0,08;0,85;0,08;y
489;287;0,173;0,26;0;2,05;0,25;y
490;41;0,171;0,171;0;2,1;0;y
491;1890;0,162;0,518;0,1;0,51;0;y
492;1428;0,156;0,297;0,2;0,4;0,1;y
493;474;0;0,19;0;0;0;y
494;702;0,264;0,611;1,04;0,1;0;y
495;61;0,634;0,422;0;0;0;y
496;26;0;0;0;0;0;y
497;92;0,111;0,111;0,62;0;0;y
498;1460;0,338;0,492;0,29;0,47;0,23;y
499;2340;0,509;0,478;0,58;0,51;0,51;y
500;33;0;0;0;0;0;y
501;82;0,408;0,408;0;1,12;0;y
502;165;0,761;0,084;0;3,38;0;y
503;1410;0,114;0,394;0,08;0,85;0,08;y
504;381;0;0,264;0;0;0;y
505;140;0,233;0,233;0;1,42;0;y
506;279;0,173;0,13;0;0,31;0;y
507;1045;0,151;1,06;0,26;0,53;0,4;y
508;364;0,129;0,843;0;0;0;y
509;71;0,367;0,919;0;1,85;0;y
510;1991;0,493;0,507;0,53;0,45;0,32;y
511;117;0,151;0;0,87;0;0;y
512;131;0,466;0,093;0;1,59;0;y
513;3116;0,069;0,556;0,7;0,61;0,35;y
514;660;1,961;0,387;1,36;0,68;0,51;y
515;43;0;0,311;0;0;0,53;y
516;1280;0,101;0,101;0,06;0,06;0,26;y
517;61;0,626;0,208;0;0;0;y
518;120;0;0,291;0;1,05;0;y
519;110;0;0,057;0;0;0,31;y
520;63;0,111;1,116;0;0;0;y
521;64;0,11;1,103;0;0;0;y
522;259;4,017;0,378;0;0,62;0;y
523;1509;0,191;0,42;0,11;0,59;0;y
524;535;0,031;0,249;0,09;0,36;0,09;y
525;137;0,41;0,082;0;1,41;0;y
526;368;0,128;0,153;0,44;0;0,14;y
527;151;0;0,125;0;0;0;y
528;368;0,128;0,153;0,44;0;0,14;y
529;2220;0,5;0,456;0,6;0,37;0,5;y
530;490;0,223;0,382;0;0,61;0;y
531;116;0,74;0,211;0;2,85;0,57;y
532;114;0,763;0,109;0;2,95;0,59;y
533;261;0,121;0,121;0,4;0,6;0;y
534;113;0,216;0,185;0;0,19;0,19;y
535;60;0,632;0,21;0;0;0;y
536;62;0,61;0,203;0;0;0;y
537;381;0,065;0,016;0;0,74;0;y
538;64;0;0,537;0,9;0;0,9;y
539;25;0,17;0;0;0;0;y
540;555;0;0,153;0;0;0;y
541;126;0,5;0,142;0;0,46;0;y
542;250;0,118;0,094;0,42;0,14;0,28;y
543;46;0;0;0;0;0;y
544;108;0,353;0,088;0,55;0;0;y
545;2;0;0;12,5;0;0;y
546;151;0;0,121;0;0;0;y
547;21;0;0;1,47;0;0;y
548;339;0;0,324;0,26;0;0,26;y
549;59;0,048;0;0;0;0,33;y
550;118;0;0,11;0;0;0;y
551;565;0,132;1,689;0,61;0,2;0,41;y
552;18;0;0,774;0;0;0;y
553;32;0;0,111;0;0;0;y
554;2426;0,505;0,439;0,54;0,5;0,5;y
555;386;0,042;1,289;0,84;0,28;0,56;y
556;441;0,113;0,213;0,66;0;0,33;y
557;328;0;0,215;0,34;0;0;y
558;981;0,299;1,082;1,03;0,12;0,64;y
559;222;0,092;0;0,78;0;0;y
560;549;0;0,616;0;0;0;y
561;96;0,232;0,232;0,68;0,68;0;y
562;149;0,156;0;0,32;0;0;y
563;158;0;0,368;0;0;0;y
564;134;0;0,225;0;0;0;y
565;134;0;0,223;0;0;0;y
566;44;0;0;0;0;2,43;y
567;62;0;0;0;0;0;y
568;400;0;0;0;0;0;y
569;2771;0,535;0,363;0,52;0,63;0,52;y
570;94;0;0,649;0;0;0;y
571;81;0,189;0,189;0;0;0;y
572;92;0;0,699;0;0;0;y
573;231;0,034;0,375;0;0;0,5;y
574;83;0,176;0,176;0,51;0;1,03;y
575;632;0,308;0,745;1,38;0;1,18;y
576;632;0,31;0,749;1,38;0;1,18;y
577;632;0,306;0,741;1,38;0;1,18;y
578;62;0;0;0;0;0;y
579;85;0,338;0;0;0;0;y
580;757;0,177;1,316;0,55;0,13;0,13;y
581;2761;0,023;0,095;0;0,46;0;y
582;542;0,03;0,242;0,09;0,36;0,09;y
583;726;0,182;1,294;0,55;0,13;0,13;y
584;632;0,31;0,749;1,38;0;1,18;y
585;1319;0;0;0;0;0;y
586;94;0;0,125;0;0;0;y
587;178;0,108;0,072;0,47;0;0;y
588;48;0;0,277;0;0;2,32;y
589;36;0;0;0;0;0;y
590;53;0;0,334;0;0;0;y
591;385;0,134;0,574;0,22;0,11;0,45;y
592;124;0;1,255;0;0;0;y
593;302;0,12;0,034;0;0,55;0;y
594;309;0;0,274;0;0;0;y
595;1592;0,236;0,388;1,14;1,82;0,68;y
596;30;0;0;0;0;0;y
597;111;0,17;0,085;0;0;0;y
598;74;0;3,333;0;0;0;y
599;62;0;0,546;0,9;0;0,9;y
600;3269;0,626;0,322;0,35;1,09;0,49;y
601;75;0,183;0,612;0,79;1,18;0,39;y
602;58;0;0,192;0;0;0;y
603;621;0,055;1,718;0,34;0;0,17;y
604;358;0,403;0,359;0,25;0,77;0,51;y
605;150;0,107;0,321;0;0,62;0;y
606;87;0;0;0;0;0;y
607;125;0;0,519;0;0,84;0;y
608;72;0;0,132;0,71;0;0;y
609;528;0,03;0,246;0,09;0,36;0,09;y
610;666;0,132;0,265;0,45;0,45;0,11;y
611;133;0,361;0,433;0;2,2;0,44;y
612;1351;0,152;0,474;0,1;0,6;0,1;y
613;666;0,132;0,265;0,45;0,45;0,11;y
614;2184;0,585;0,438;0,46;0,38;0,42;y
615;114;0,07;2,115;0;0,45;0;y
616;391;0,176;0,392;0,22;0;0,33;y
617;30;0;0;0;0;0;y
618;69;0,109;1,096;0;0;0;y
619;53;0;0,218;0;2,24;0;y
620;261;0;0,125;0;1,36;0;y
621;54;0;0,218;0;0;0;y
622;36;0;0;0;0;0;y
623;870;0,224;0,404;0,29;0,09;0,19;y
624;50;0;0,113;0;0;0;y
625;365;0,247;0,19;0,49;0,39;0,79;y
626;270;0,309;0,206;0;0;0;y
627;106;0;0;0;0;0;y
628;177;0,888;0,414;0;1,47;0;y
629;134;0;0,77;0;0;0;y
630;1043;0,384;0,928;0,3;0;0,1;y
631;13;0;0;0;0;0;y
632;2184;0,528;0,452;0,63;0,38;0,52;y
633;35;0;0;0;0;0;y
634;956;0,027;0,167;0;0;0;y
635;291;0;1,065;0;0;0;y
636;386;0,043;1,294;0,84;0,28;0,56;y
637;334;0;0,531;0;0;0;y
638;1107;0,182;0,127;0,34;0,17;0,34;y
639;157;0,089;0,983;0;0;0;y
640;137;0,358;0,43;0;2,2;0,44;y
641;108;0,472;0,472;0,42;0;1,26;y
642;280;0,141;0,425;0;0;0;y
643;293;0,289;0,072;0;0;0;y
644;84;0;1,344;0;0;0,89;y
645;46;0;0,257;2,04;0;0;y
646;277;0,142;0,427;0;0;0;y
647;91;0;1,149;0;0;0;y
648;1235;0;0,366;0;0;0,13;y
649;94;0,13;0,52;1,94;0;0;y
650;159;0,063;0;0;0;0;y
651;165;0,297;0,669;0;0,44;0;y
652;312;0;0,477;0;0;0;y
653;238;0;1,336;0;0;0;y
654;513;0,464;0,406;0;0,66;0,33;y
655;36;1,305;0,163;0,94;0;0;y
656;300;0,062;0,435;1,1;0,36;0,73;y
657;161;0,159;0,372;0;0;0;y
658;1057;0,02;0,352;0;0;0;y
659;70;0,099;0,396;0,57;0;0,57;y
660;160;0,062;0,621;0;0;0;y
661;3;0;0;0;0;0;y
662;991;0;0,583;0;0;0;y
663;3243;0,672;0,308;0,36;1,09;0,51;y
664;262;0;0,23;1,05;0;0,7;y
